frame,mean_iou,iou_v0,iou_v1,iou_v2,iou_v3,iou_v4,iou_v5
610,0.6776,0.7576,0.7175,0.6896,0.6076,0.6759,0.6174
615,0.6922,0.7586,0.7094,0.6945,0.6161,0.6781,0.6965
620,0.6972,0.7544,0.7013,0.7026,0.6145,0.6905,0.7197
625,0.6383,0.5966,0.6534,0.6709,0.565,0.6413,0.7024
630,0.6029,0.5347,0.6477,0.6283,0.5528,0.5933,0.6609
635,0.6131,0.5558,0.6491,0.7146,0.52,0.5843,0.6548
640,0.6761,0.689,0.6005,0.7797,0.5164,0.614,0.8573
645,0.6625,0.6562,0.6245,0.8242,0.504,0.5816,0.7847
650,0.612,0.6029,0.6069,0.7643,0.4452,0.5932,0.6598
655,0.6028,0.6027,0.588,0.7432,0.4413,0.5904,0.6513
660,0.6301,0.6582,0.5912,0.7443,0.5214,0.6197,0.6459
665,0.5857,0.5719,0.4825,0.6841,0.4568,0.5818,0.7371
670,0.5669,0.536,0.481,0.6656,0.4743,0.5672,0.6774
675,0.5768,0.5433,0.5034,0.6753,0.5488,0.5853,0.6048
680,0.6704,0.631,0.6117,0.7323,0.6924,0.7092,0.6457
685,0.6274,0.5712,0.5495,0.7153,0.6351,0.6787,0.6146
690,0.5935,0.551,0.5172,0.677,0.5749,0.6443,0.5964
695,0.6108,0.5921,0.5275,0.6709,0.5725,0.6743,0.6277
700,0.6518,0.651,0.5312,0.6993,0.6202,0.7079,0.7011
705,0.6031,0.5864,0.4626,0.6042,0.4933,0.8504,0.6217
710,0.6178,0.6566,0.4675,0.5689,0.5775,0.8252,0.6109
715,0.6703,0.6887,0.5726,0.6069,0.7217,0.8269,0.6048
720,0.7058,0.6829,0.5956,0.7113,0.7913,0.8149,0.6385
725,0.643,0.6265,0.5362,0.6571,0.6929,0.7909,0.5546
730,0.6517,0.6025,0.5935,0.6141,0.7336,0.8094,0.5569
735,0.687,0.6504,0.594,0.6887,0.7379,0.8467,0.6044
740,0.7017,0.6709,0.6125,0.7386,0.7262,0.8356,0.6267
745,0.6987,0.6756,0.6048,0.749,0.7159,0.816,0.6306
750,0.7063,0.6836,0.5986,0.7612,0.723,0.8285,0.6431
