frame,delta
6520,0.0783
13825,0.0784
17565,0.0784
9615,0.0787
13420,0.0787
5970,0.0791
13470,0.0792
8780,0.0794
6070,0.0795
13905,0.0798
14290,0.0804
6075,0.0805
10825,0.081
8220,0.0814
15690,0.0819
6080,0.0823
2920,0.0827
13900,0.0829
14130,0.0831
895,0.0834
9795,0.0837
9340,0.0839
9645,0.084
13890,0.084
6945,0.0841
9440,0.0841
2915,0.0844
14105,0.0853
8250,0.0856
7180,0.0859
9650,0.0859
6670,0.086
11310,0.086
14790,0.0866
5140,0.0867
12675,0.0869
17310,0.0872
4450,0.0875
13845,0.0878
485,0.0879
15795,0.0881
8435,0.0884
1110,0.0887
13840,0.089
12870,0.0891
11400,0.0892
16560,0.0895
6035,0.0897
6030,0.09
4230,0.0901
2245,0.0908
5520,0.0908
9800,0.0908
10580,0.0911
4445,0.0912
6025,0.0912
4250,0.0916
14060,0.0916
13250,0.0917
14080,0.0919
13790,0.092
10135,0.0929
13805,0.0934
6040,0.0936
15750,0.0939
2330,0.094
6045,0.0942
75,0.0943
5670,0.0944
16860,0.0946
1855,0.0947
2430,0.0947
8255,0.0952
13085,0.0952
9765,0.0957
14180,0.0957
1575,0.0959
14095,0.0959
13915,0.0964
13950,0.0964
2345,0.0968
2875,0.0972
14075,0.0974
2940,0.0978
13125,0.0978
5485,0.098
6935,0.0981
16725,0.0984
14055,0.0986
6065,0.0987
15890,0.0989
13290,0.099
13925,0.0991
14085,0.0991
14140,0.0992
14040,0.0993
5500,0.0994
14070,0.0995
16870,0.0995
6525,0.0998
14065,0.0998
14100,0.0998
2165,0.1001
6060,0.1002
1095,0.1003
13910,0.1004
10730,0.1006
14030,0.1006
15875,0.1007
8185,0.1011
14485,0.1013
14090,0.1014
14015,0.1016
13795,0.102
15765,0.1021
14050,0.1022
15775,0.1022
6055,0.1023
13965,0.1023
15920,0.1023
10735,0.1024
2855,0.1027
13095,0.1028
16865,0.103
910,0.1032
930,0.1035
7130,0.1035
14020,0.1037
14045,0.1037
11800,0.104
13090,0.104
16875,0.104
9785,0.1041
2255,0.1042
14025,0.1043
9820,0.1044
11805,0.1044
7505,0.1046
14255,0.1047
14035,0.1048
1115,0.1051
13485,0.1052
17810,0.1054
6020,0.1055
2160,0.1059
13985,0.106
745,0.1063
6940,0.1065
13100,0.1067
13955,0.1068
13930,0.107
14195,0.1076
9315,0.1078
13935,0.1081
15885,0.1081
6050,0.1082
4255,0.1087
6165,0.1087
11305,0.1088
2945,0.1089
740,0.1092
12680,0.1094
15900,0.1095
7125,0.1096
9095,0.1099
5120,0.11
13920,0.1101
13960,0.1111
15880,0.1111
16855,0.1111
1090,0.1114
2170,0.1115
16880,0.1117
5640,0.1121
11265,0.1121
13945,0.1121
16885,0.1121
16890,0.1121
13800,0.1127
13990,0.1128
5665,0.1136
11270,0.1136
14000,0.1137
17455,0.1137
10710,0.1138
16895,0.1138
15700,0.1143
4435,0.1144
13940,0.1145
13465,0.1147
5075,0.1148
16660,0.1151
5975,0.1152
14010,0.1156
13980,0.1159
8290,0.1163
8785,0.1163
13975,0.1165
14005,0.1167
14200,0.1167
2295,0.1172
6015,0.1172
8285,0.1172
14230,0.1172
2300,0.1173
16900,0.1173
13970,0.1174
14545,0.1174
8320,0.1177
13995,0.1179
7545,0.118
2180,0.1182
5105,0.1187
1415,0.1188
17425,0.119
1790,0.1192
2195,0.1192
15865,0.1197
2190,0.1199
6950,0.1201
9450,0.1203
16525,0.1203
2935,0.1204
6270,0.1208
13500,0.1211
15645,0.1216
2185,0.1221
6545,0.1221
14245,0.1223
6480,0.1225
6430,0.1228
1435,0.123
10680,0.1233
2200,0.1238
16920,0.1239
1105,0.1242
9730,0.1243
13255,0.1244
4470,0.1248
